Botanical Name,Local Name
Acacia catechu,Khair
Acacia leucophloea,Hiwar
Acacia nilotica,Babul
Aegle marmelos,Bael
Ailanthus excelsa,Maharukh
Albizia lebbeck,Siris
Albizia odoratissima,Chichola
Albizia procera,Kinhi
Anogeissus latifolia,Dhawada
Azadirachta indica,Neem
Bauhinia variegata,Kanchan
Bauhinia racemosa,Apta
Bombax ceiba,Semal
Boswellia serrata,Salai
Bridelia retusa,"Asana, Kate"
Buchanania latifolia,"Chiroli , Char"
Butea frondosa,"Dhak, Palas"
Canthium coromandelicum,Korbit
Careya arborea,Kumbhi
Cassia fistula,"Amaltas, Bahawa"
Cassine glauca,Bhutiakes
Cassia siamea,Kashid
Chloroxylon swietenia,Bherra
Cleistanthus collinus,Garari
Cochlospermum religiosum,Ganeri
Cordia macleodii,"Dahiwan, Dahipalas"
Cordia myxa,"Lasura, Bhokar"
Dalbergia latifotia,Shisham
Dalbergia ougeinensis,Tiwas
Dalbergia paniculata,"Kinjal,  Phasi"
Dalbergia sissoo,Sisoo
Diospyros melanoxylon,Tendu
Dolichandrone falcata,Medsinghi
Erythrina suberosa,Raan Pangra
Feronia limonia,Kovit
Ficus benghalensis,"Banyan, Vad"
Ficus glomerata,"Gular, Umbar"
Ficus hispida,"Bhui Umber, Kala Umber"
Ficus religiosa,"Pipal, Ashvatha"
Ficus retusa,Pimpari
Flacourtia indica,Perhenkel
Gardenia resinifera,Dikamali
Garuga pinnata,"Kharpat, kakad"
Gliricidia sepium,"Giripushpa, Undirmari"
Gmelina arborea,Shivan
Grewia tillifolia,Dhaman
Haldina cordifolia,"Haldu, Heddi"
Hardwickia binata,Anjan
Holoptelea integrifolia,Papara
Hymenodictyon orixense,Bhorsal
Ixora brachiata,Kaali Lokhandi
Lagerstroemia parviflora,"Lende, bondara"
Madhuca longifolia,Mohwa
Melia azedarach,Bakain
Mimusops hexandra,Khimi
Mitragyna parvifolia,Kalamb
Morinda tinctoria,Bartondi
Moringa concanensis,Ranshevaga
Odina wodier,Moi
Phyllanthus emblica,Amla
Pongamia pinnata,Karanj
Pterocarpus marsupium,Bija
Santalum album,Chandan
Sapindus emarginatus,Ritha
Schleichera trijuga,Kusam
Schrebera swietenioides,"Mokha, Ghant"
Semecarpus anacardium,"Bhilawa, Biba"
Soymida febrifuga,Rohan
Sterculia urens,"Gulu, Kulu, Karai"
Stereospermum chelonoides,"Paadal, Padari"
Syzygium cumini,Jamun
Tamarindus indica,Chinch
Tectona grandis,"Sagwan, Sag"
Terminalia arjuna,Arjun
Terminalia bellirica,Beheda
Terminalia chebula,Hirda
Terminalia tomentosa,"Ain, Asan, Sadada"
Wrightia tinctoria,Kala kuda
Wrightia tomentosa,Tambda kuda
Ziziphus xylopyrus,Ghat-bor
Zizyphus jujuba,Bor
